Дата,Температура
2021-01-01,29.33781659703857
2021-01-02,27.896966724325093
2021-01-05,24.39612473382865
2021-01-06,25.89954350218503
2021-01-07,30.606723563268357
2021-01-08,18.713633603850106
2021-01-09,35.4166462024767
2021-01-10,22.293300194942816
2021-01-12,25.153493211144124
2021-01-14,25.77206771852987
2021-01-15,25.200051185405123
2021-01-16,18.622463894164383
2021-01-17,26.94574507073277
2021-01-18,23.4214926070727
2021-01-19,25.965720702873696
2021-01-20,21.574421263936856
2021-01-21,26.98091163971088
2021-01-22,21.665472901323547
2021-01-23,37.46989050850614
2021-01-25,27.2380310339388
2021-01-26,17.177459289753397
2021-01-27,33.34463606330021
2021-01-28,36.64187775387754
2021-01-29,24.237527843171268
2021-01-30,23.45829315609677
2021-02-02,29.155724136359535
2021-02-03,16.535141848383738
2021-02-04,21.804475003150813
2021-02-05,31.556701366662736
2021-02-06,23.367717223097166
2021-02-07,20.412647544892383
2021-02-08,20.40343465703061
2021-02-10,26.68976018991008
2021-02-11,31.28472467207596
2021-02-12,19.857991555498373
2021-02-13,31.097979438944524
2021-02-15,24.34962901821335
2021-02-16,23.553669157870257
2021-02-17,26.93062904755563
2021-02-18,33.40342453760619
2021-02-20,17.905515796297646
2021-02-22,25.64476723338008
2021-02-23,24.581918861952797
2021-02-25,28.63254062991479
2021-02-27,18.68670032359565
2021-03-02,24.578395353440623
2021-03-03,23.72659303164568
2021-03-04,23.400545060173418
2021-03-06,30.52832262884941
2021-03-07,30.104915864697883
2021-03-10,26.719171969734365
2021-03-11,28.570647207032884
2021-03-13,30.471889152645225
2021-03-14,6.879597641170413
2021-03-15,26.10664400474985
2021-03-16,24.73530981589638
2021-03-17,20.22493460183177
2021-03-19,34.67419104815572
2021-03-21,25.33033988490777
2021-03-22,21.800259467258726
2021-03-23,23.220988644562016
2021-03-24,30.114491740339503
2021-03-26,20.4654050662222
2021-03-27,28.63570858314037
2021-03-29,30.90185317237997
2021-03-31,22.905702451782137
2021-04-01,27.50626542696126
2021-04-02,27.036045404441563
2021-04-03,27.592775797360236
2021-04-04,28.81303257915096
